"Rk","player_name","Nation","Pos","Squad","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per 90 Minutes","Ast_Per 90 Minutes","G+A_Per 90 Minutes","G_minus_PK_Per 90 Minutes","G+A_minus_PK_Per 90 Minutes","xG_Per 90 Minutes","xAG_Per 90 Minutes","xG+xAG_Per 90 Minutes","npxG_Per 90 Minutes","npxG+xAG_Per 90 Minutes","market_value_euro"
84,"Andy Carroll","eng ENG","FW","Newcastle Utd",31,1989,18,4,392,4.4,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,2,12,18,0.23,0,0.23,0.23,0.23,0.19,0.02,0.21,0.19,0.21,NA
85,"Scott Carson","eng ENG","GK","Manchester City",34,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+05
86,"Fabio Carvalho","pt POR","MF,FW","Fulham",17,2002,4,3,255,2.8,1,0,1,1,0,0,0,0,1.2,1.2,0.4,1.6,10,6,14,0.35,0,0.35,0.35,0.35,0.41,0.15,0.56,0.41,0.56,NA
87,"Matty Cash","pl POL","DF","Aston Villa",22,1997,28,28,2372,26.4,0,2,2,0,0,0,8,1,0.3,0.3,1.7,2,43,76,62,0,0.08,0.08,0,0.08,0.01,0.07,0.08,0.01,0.08,2.5e+07
88,"Kiko Casilla","es ESP","GK","Leeds United",33,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
89,"Timothy Castagne","be BEL","DF","Leicester City",24,1995,27,27,2345,26.1,2,3,5,2,0,0,1,0,1.1,1.1,2.2,3.4,52,91,148,0.08,0.12,0.19,0.08,0.19,0.04,0.09,0.13,0.04,0.13,2.8e+07
90,"Jonny Castro","es ESP","MF,DF","Wolves",26,1994,7,7,495,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,13,16,18,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,NA
91,"Ivan Cavaleiro","pt POR","FW","Fulham",26,1993,36,27,2472,27.5,3,0,3,2,1,2,2,0,6.4,4.8,2.7,7.5,68,63,230,0.11,0,0.11,0.07,0.07,0.23,0.1,0.33,0.17,0.27,NA
92,"Edinson Cavani","uy URU","FW","Manchester Utd",33,1987,26,13,1375,15.3,10,3,13,10,0,0,4,0,8,8,2.2,10.3,5,30,80,0.65,0.2,0.85,0.65,0.85,0.52,0.15,0.67,0.52,0.67,4e+06
93,"Dani Ceballos","es ESP","MF","Arsenal",23,1996,25,17,1615,17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3,54,150,52,0,0.17,0.17,0,0.17,0.04,0.15,0.18,0.04,0.18,NA
94,"Calum Chambers","eng ENG","DF","Arsenal",25,1995,10,8,753,8.4,0,2,2,0,0,0,0,0,0.4,0.4,1.1,1.5,16,40,49,0,0.24,0.24,0,0.24,0.05,0.13,0.18,0.05,0.18,1e+07
94,"Calum Chambers","eng ENG","DF","Arsenal",25,1995,10,8,753,8.4,0,2,2,0,0,0,0,0,0.4,0.4,1.1,1.5,16,40,49,0,0.24,0.24,0,0.24,0.05,0.13,0.18,0.05,0.18,1e+07
95,"Ben Chilwell","eng ENG","DF","Chelsea",23,1996,27,27,2286,25.4,3,5,8,3,0,0,3,0,2.4,2.4,2.4,4.9,94,111,186,0.12,0.2,0.31,0.12,0.31,0.1,0.1,0.19,0.1,0.19,3.8e+07
96,"Hamza Choudhury","eng ENG","MF","Leicester City",22,1997,10,4,316,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,3,15,1,0,0,0,0,0,0.11,0,0.11,0.11,0.11,4e+06
97,"Andreas Christensen","dk DEN","DF","Chelsea",24,1996,17,15,1371,15.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,7,43,1,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,3.5e+07
